ID06,ED_Name,NUTS4,NUTS3,NUTS2,NUTS1,HP2006abs,HP2011abs,HP2016abs,HP2006rel,HP2011rel,HP2016rel,TOTPOP02,TOTPOP06,TOTPOP11,TOTPOP16,popdep_T,popdep_L,popdep_M,popdep_H,share_T,share_L,share_M,share_H,share,POPCHG06,POPCHG11,POPCHG16,AGEDEP06,AGEDEP11,AGEDEP16,LONEPA06,LONEPA11,LONEPA16,EDLOW_06,EDLOW_11,EDLOW_16,EDHIGH06,EDHIGH11,EDHIGH16,HLPROF06,HLPROF11,HLPROF16,LSKILL06,LSKILL11,LSKILL16,UNEMPM16,UNEMPF16,PEROOM06,PEROOM11,PEROOM16,LARENT06,LARENT11,LARENT16,PRRENT06,PRRENT11,PRRENT16,OHOUSE16
15057,KILLISKEY,Wicklow,Mid East,Southern & Eastern Region,Ireland,6.9,-0.9,1.7,6.9,5.6,5.6,963,"1,010","1,038","1,062",1062,313,71,7,0.02,0.01,0.01,0,0.01,0,0,0,34.3,34.3,35.4,11.1,15.8,17.7,9.6,9.5,7.4,42.2,39.7,49.6,52.4,53.3,53,11.5,9.5,11.4,11,10.3,0.5,0.5,0.5,0.7,4.8,6.1,10.4,12.1,12,79.1
15058,KNOCKRATH,Wicklow,Mid East,Southern & Eastern Region,Ireland,-6.2,-11.5,-4.5,-6.2,-5.3,-0.3,208,209,239,246,246,126,41,6,0.01,0.01,0,0,0,0,0.1,0,38.8,39.7,35.4,19.2,16.7,37.9,29.2,18.8,19.5,20,24.6,32.2,30.1,31.4,36.2,30.9,31.9,21.5,13.2,7.5,0.6,0.6,0.6,9.8,9.2,10.8,0,5.3,4.1,81.1
15059,MONEYSTOWN,Wicklow,Mid East,Southern & Eastern Region,Ireland,7.9,-0.2,5.3,7.9,6.9,8.9,252,247,303,304,304,56,9,1,0.01,0,0,0,0,0,0.2,0,36.4,31.7,35.2,16.7,17.1,7.7,16,12.4,11.5,30.8,31.4,41.4,46.6,44.2,47.7,20.7,12.2,12.1,4.8,1.5,0.5,0.5,0.5,0,0,0,5,5,4.9,91.2
15060,NEWCASTLE LOWER,Wicklow,Mid East,Southern & Eastern Region,Ireland,3.5,-3.7,-0.5,3.5,2.9,3.7,"1,988","2,102","2,209","2,354",2354,929,396,100,0.05,0.04,0.04,0.03,0.04,0.1,0.1,0.1,31.3,33.5,34.9,18.8,16.7,16.2,15.1,12.2,10.9,36.1,34.4,38.9,40.7,42.6,41,17,16.7,14.5,13,9.3,0.5,0.5,0.6,10.1,9,9.8,6.9,12.7,14,74.4
15061,NEWCASTLE UPPER,Wicklow,Mid East,Southern & Eastern Region,Ireland,0.2,-4.8,-0.5,0.2,1.8,3.8,"3,176","3,157","3,584","4,009",4009,1474,544,132,0.08,0.06,0.05,0.04,0.06,0,0.1,0.2,30.3,32.8,33.8,17.9,16.7,13.8,16.2,13.6,10.3,29.1,30.4,35,32,38.8,38.9,16.9,14.8,15.4,11.4,7.6,0.5,0.5,0.6,7.9,6.7,8.1,5.3,11.7,13.4,77.1
15062,OLDTOWN,Wicklow,Mid East,Southern & Eastern Region,Ireland,4.9,-6.8,-0.8,4.9,-0.5,3.2,531,544,583,615,615,230,58,6,0.01,0.01,0.01,0,0.01,0,0.1,0.1,29.6,31.4,34.8,15.1,9.1,8.2,18.5,18.4,13.6,31.8,30.9,38.2,39.9,42.9,39.8,18.6,14,14,11.8,4.9,0.5,0.5,0.5,1.9,1,1.5,4.7,7,5.4,88.1
15063,RATHDRUM,Wicklow,Mid East,Southern & Eastern Region,Ireland,-7.5,-12.3,-9.4,-7.5,-6.2,-5.3,"2,150","2,237","2,448","2,529",2529,1643,918,346,0.05,0.07,0.09,0.1,0.08,0.4,0.3,0,34.1,35.7,37.7,24.3,21.1,22.7,25.5,26.1,20.7,22.3,22.8,27.5,25.8,32.8,31.5,29.9,24.5,27.6,22,14.7,0.5,0.5,0.6,18.3,17.4,17.6,10.9,12.1,15.9,65.1
15064,TOGHER,Wicklow,Mid East,Southern & Eastern Region,Ireland,-0.8,-6,-3.8,-0.8,0.6,0.3,847,907,"1,204","1,378",1378,675,251,48,0.03,0.03,0.02,0.01,0.02,0.1,0.4,0.1,28.8,38,40.4,22.7,20.9,18.4,18.9,13,14.9,25.1,28.6,32.4,33.2,35.5,36.9,19.7,17.1,17.1,11.9,11.2,0.5,0.5,0.5,13.2,16.8,19.4,12.8,14.6,13.3,66.3
15065,TROOPERSTOWN,Wicklow,Mid East,Southern & Eastern Region,Ireland,8.2,-1.3,3,8.2,5.8,6.8,281,303,348,335,335,83,16,1,0.01,0,0,0,0,0.1,0.1,0,35.6,37.1,37.6,9.5,6.4,7.3,22,16.7,12.2,40.3,34.9,40,43.9,45.7,44.2,23.9,22.2,19.2,4.2,5,0.6,0.5,0.5,0,0.9,0,3.4,4.6,6.5,87.9
15066,WICKLOW RURAL,Wicklow,Mid East,Southern & Eastern Region,Ireland,2.3,-4.7,-1.9,2.3,1.8,2.2,"5,217","5,903","7,429","8,163",8163,3146,1543,756,0.17,0.14,0.14,0.21,0.17,0.2,0.4,0.1,34.1,35.1,36.4,17.4,19.6,16.2,13.6,11.8,10.3,36.7,35,39.1,40.7,42.1,43.5,14.9,12.8,13.6,15,12.3,0.5,0.5,0.6,7.2,8.4,10.1,8.5,13.3,14,74.6
